state,district,rain_gfs_mm,imd_mean_mm,bias_factor,rain_gfs_bc_mm,rain_icon_mm,alert_gfs_bc,alert_icon,date,cycle_utc,gfs_cal_factor,gfs_cal_threshold_mm,gfs_cal_samples,rain_gfs_cal_mm,alert_gfs_raw,alert_gfs_cal
Maharashtra,Ahmednagar,17.85119017958641,2.462285123944321,0.3,5.355357053875923,0.0,NO ALERT,NO ALERT,20260706,18,0.25,12.0,11,4.462797544896603,MODERATE,NO ALERT
Maharashtra,Bid,14.237499984912574,2.9112995022290376,0.3,4.271249995473772,0.0,NO ALERT,NO ALERT,20260706,18,0.2747313116375355,12.0,4,3.9114870452944235,MODERATE,NO ALERT
Maharashtra,Greater Bombay,47.1875,5.809805716063878,0.3,14.15625,0.0,MODERATE,NO ALERT,20260706,18,0.8564245919372221,12.0,11,40.412535432037664,MODERATE,MODERATE
Maharashtra,Jalgaon,11.516666643321514,2.218459469364386,0.3,3.4549999929964543,0.0,NO ALERT,NO ALERT,20260706,18,0.37660665569232765,12.0,3,11.516666643321514,MODERATE,MODERATE
Maharashtra,Kolhapur,11.736111044883728,4.567391258514454,0.389174168602092,4.567391258514454,0.0,NO ALERT,NO ALERT,20260706,18,3.3751153262782756,12.0,10,11.736111044883728,MODERATE,MODERATE
Maharashtra,Nashik,29.11956560239196,3.259374467192518,0.3,8.735869680717586,0.0,NO ALERT,NO ALERT,20260706,18,0.9193289974793906,12.0,9,26.770461052282347,MODERATE,MODERATE
Maharashtra,Osmanabad,20.011363074183464,3.519422790742158,0.3,6.003408922255039,0.0,NO ALERT,NO ALERT,20260706,18,0.25,12.0,5,5.002840768545866,MODERATE,NO ALERT
Maharashtra,Pune,36.0822371840477,2.837849626928117,0.3,10.82467115521431,0.0,MODERATE,NO ALERT,20260706,18,0.5696521183563522,12.0,11,20.55432284692911,MODERATE,MODERATE
Maharashtra,Raigarh,69.06944417953491,11.745564132497917,0.3,20.720833253860476,0.0,MODERATE,NO ALERT,20260706,18,1.5851384185297959,12.0,11,109.48462951547998,HEAVY,HEAVY
Maharashtra,Ratnagiri,55.24431800842285,11.590113290838184,0.3,16.573295402526856,0.0,MODERATE,NO ALERT,20260706,18,1.9857216734287852,12.0,11,109.6998396031174,MODERATE,HEAVY
Maharashtra,Satara,28.2421875,1.9291288701217773,0.3,8.47265625,0.0,NO ALERT,NO ALERT,20260706,18,0.70878753314716,12.0,11,20.017710408804557,MODERATE,MODERATE
Maharashtra,Sindhudurg,42.06944465637207,12.04361321639434,0.3,12.62083339691162,0.0,MODERATE,NO ALERT,20260706,18,2.02674894325119,12.0,11,85.26420250046651,MODERATE,HEAVY
Maharashtra,Solapur,16.02445636317134,2.202511887523019,0.3,4.8073369089514015,0.0,NO ALERT,NO ALERT,20260706,18,0.25,12.0,6,4.006114090792835,MODERATE,NO ALERT
Maharashtra,Thane,89.03125,9.761147001620431,0.3,26.709375,0.0,MODERATE,NO ALERT,20260706,18,0.8214492898205912,12.0,11,73.13465708433951,HEAVY,HEAVY
Meghalaya,East Khasi Hills,24.203125,9.036706911027432,0.3733694269243096,9.036706911027432,0.0,NO ALERT,NO ALERT,20260706,18,0.5723283888418463,12.0,5,13.852135536187813,MODERATE,MODERATE
Meghalaya,Jaintia Hills,18.052083373069763,4.654131050261596,0.3,5.415625011920929,0.0,NO ALERT,NO ALERT,20260706,18,0.25,12.0,2,4.513020843267441,MODERATE,NO ALERT
Meghalaya,Ri-Bhoi,13.604166820645332,3.762665753964692,0.3,4.0812500461936,0.0,NO ALERT,NO ALERT,20260706,18,0.35170428632694284,12.0,1,4.784643782727741,MODERATE,NO ALERT
Meghalaya,South Garo Hills,5.770833432674408,11.48625354972332,1.9903976927644893,11.48625354972332,0.0,MODERATE,NO ALERT,20260706,18,0.7192489507796644,12.0,9,5.770833432674408,NO ALERT,NO ALERT
Meghalaya,West Khasi Hills,9.5234375,11.724642573771616,1.23113556147889,11.724642573771616,0.0,MODERATE,NO ALERT,20260706,18,0.85240854006625,12.0,9,9.5234375,NO ALERT,NO ALERT
Mizoram,Lawngtlai,10.09375,7.065783722627245,0.7000157248423277,7.065783722627245,0.0,NO ALERT,NO ALERT,20260706,18,0.25,12.0,7,10.09375,MODERATE,MODERATE
Mizoram,Lunglei,31.17708353325725,6.794032235276889,0.3,9.353125059977174,0.0,NO ALERT,NO ALERT,20260706,18,0.25,12.0,7,7.794270883314312,MODERATE,NO ALERT
Mizoram,Saiha,12.453125,7.0117459620004645,0.5630511186549934,7.0117459620004645,0.0,NO ALERT,NO ALERT,20260706,18,0.25,12.0,7,3.11328125,MODERATE,NO ALERT
Mizoram,Serchhip,25.40625,6.423519842530767,0.3,7.621874999999999,0.0,NO ALERT,NO ALERT,20260706,18,0.25,12.0,6,6.3515625,MODERATE,NO ALERT
Nagaland,Mon,22.1875,5.343463035091146,0.3,6.65625,0.0,NO ALERT,NO ALERT,20260706,18,0.30283358243751296,12.0,2,6.719120110332319,MODERATE,NO ALERT
Nagaland,Tuensang,12.54464265704155,5.490893061231611,0.4377082083043208,5.490893061231611,0.0,NO ALERT,NO ALERT,20260706,18,0.2663562518765427,12.0,2,3.341343999260181,MODERATE,NO ALERT
Nagaland,Zunheboto,14.28125,5.744828931232021,0.4022637326026798,5.744828931232021,0.0,NO ALERT,NO ALERT,20260706,18,0.25,12.0,2,3.5703125,MODERATE,NO ALERT
Rajasthan,Banswara,45.61607180349529,3.589987605597292,0.3,13.684821541048589,0.0,MODERATE,NO ALERT,20260706,18,0.35278090108362864,12.0,8,16.092478914732574,MODERATE,MODERATE
Rajasthan,Chittaurgarh,13.080357559025288,3.3916140502796246,0.3,3.924107267707586,0.0,NO ALERT,NO ALERT,20260706,18,0.5892530785781281,12.0,2,7.70764096055834,MODERATE,NO ALERT
Rajasthan,Dungarpur,31.900000497698784,2.619388524738893,0.3,9.570000149309635,0.0,NO ALERT,NO ALERT,20260706,18,0.43145584482198585,12.0,7,13.763441664556398,MODERATE,MODERATE
Rajasthan,Pali,11.25,2.6071859379769524,0.3,3.375,0.0,NO ALERT,NO ALERT,20260706,18,1.0,12.0,0,11.25,MODERATE,MODERATE
Rajasthan,Rajsamand,17.4374995585531,2.5847386136067825,0.3,5.231249867565929,0.0,NO ALERT,NO ALERT,20260706,18,0.5759476135202899,12.0,3,10.043086256509767,MODERATE,MODERATE
Rajasthan,Sirohi,21.984375,2.9204422337168903,0.3,6.5953125,0.0,NO ALERT,NO ALERT,20260706,18,0.9286366236632138,12.0,1,20.415495773345963,MODERATE,MODERATE
Rajasthan,Udaipur,43.22569423913956,3.0253603546110464,0.3,12.967708271741866,0.0,MODERATE,NO ALERT,20260706,18,0.6181665924192623,12.0,4,26.720680112765837,MODERATE,MODERATE
Sikkim,East,13.75,9.69128929034692,0.7048210392979578,9.69128929034692,0.0,NO ALERT,NO ALERT,20260706,18,1.4720732815259285,12.0,5,20.241007620981517,MODERATE,MODERATE
Tripura,South Tripura,11.640625,6.08742993931758,0.522947001498423,6.08742993931758,0.0,NO ALERT,NO ALERT,20260706,18,0.5622858351616011,12.0,6,11.640625,MODERATE,MODERATE
