district,basin
Ghaziabad,Ganga Basin
Ghazipur,Ganga Basin
Gonda,Ganga Basin
Gorakhpur,Ganga Basin
Hamirpur,Ganga Basin
Hardoi,Ganga Basin
Hathras,Ganga Basin
Jalaun,Ganga Basin
Jaunpur,Ganga Basin
Jhansi,Ganga Basin
Jyotiba Phule Nagar,Ganga Basin
Kannauj,Ganga Basin
Kanpur,Ganga Basin
Kanpur Dehat,Ganga Basin
Kaushambi,Ganga Basin
Kushinagar,Ganga Basin
Lakhimpur Kheri,Ganga Basin
Lalitpur,Ganga Basin
Lucknow,Ganga Basin
Maharajganj,Ganga Basin
Mahoba,Ganga Basin
Mainpuri,Ganga Basin
Mathura,Ganga Basin
Mau,Ganga Basin
Meerut,Ganga Basin
Mirzapur,Ganga Basin
Moradabad,Ganga Basin
Muzaffarnagar,Ganga Basin
Pilibhit,Ganga Basin
Pratapgarh,Ganga Basin
Rae Bareli,Ganga Basin
Rampur,Ganga Basin
Saharanpur,Ganga Basin
Sant Kabir Nagar,Ganga Basin
Sant Ravi Das Nagar,Ganga Basin
Shahjahanpur,Ganga Basin
Shravasti,Ganga Basin
Siddharth Nagar,Ganga Basin
Sitapur,Ganga Basin
Sonbhadra,Ganga Basin
Sultanpur,Ganga Basin
Unnao,Ganga Basin
Varanasi,Ganga Basin
Almora,Ganga Basin
Bageshwar,Ganga Basin
Chamoli,Ganga Basin
Champawat,Ganga Basin
Dehra Dun,Ganga Basin
Haridwar,Ganga Basin
Naini Tal,Ganga Basin
Pauri Garhwal,Ganga Basin
Pithoragarh,Ganga Basin
Rudra Prayag,Ganga Basin
Tehri Garhwal,Ganga Basin
Udham Singh Nagar,Ganga Basin
Uttarkashi,Ganga Basin
Uttarkashi,Indus (Up to border) Basin
Bankura,Ganga Basin
Barddhaman,Ganga Basin
Birbhum,Ganga Basin
Dakshin Dinajpur,Ganga Basin
Darjiling,Ganga Basin
Darjiling,Brahmaputra Basin
East Midnapore,Subernarekha Basin
East Midnapore,Ganga Basin
Haora,Ganga Basin
Hugli,Ganga Basin
Jalpaiguri,Ganga Basin
Jalpaiguri,Brahmaputra Basin
Kochbihar,Brahmaputra Basin
Kolkata,Ganga Basin
Maldah,Ganga Basin
Murshidabad,Ganga Basin
Nadia,Ganga Basin
North 24 Parganas,Ganga Basin
Puruliya,Subernarekha Basin
Puruliya,Ganga Basin
South 24 Parganas,Ganga Basin
Uttar Dinajpur,Ganga Basin
West Midnapore,Subernarekha Basin
West Midnapore,Ganga Basin
