district,basin
Nellore,East flowing rivers between Pennar and Cauvery Basin
Nellore,Pennar Basin
Nellore,East flowing rivers between Krishna and Pennar Basin
Nizamabad,Godavari Basin
Prakasam,Pennar Basin
Prakasam,East flowing rivers between Krishna and Pennar Basin
Prakasam,Krishna Basin
Rangareddi,Krishna Basin
Rangareddi,Godavari Basin
Srikakulam,East flowing rivers between Mahanadi and Godavari Basin
Vishakhapatnam,Godavari Basin
Vishakhapatnam,East flowing rivers between Mahanadi and Godavari Basin
Vizianagaram,Godavari Basin
Vizianagaram,East flowing rivers between Mahanadi and Godavari Basin
Warangal,Krishna Basin
Warangal,Godavari Basin
West Godavari,East flowing rivers between Godavari and Krishna Basin
West Godavari,Godavari Basin
Changlang,Brahmaputra Basin
East Kameng,Brahmaputra Basin
East Siang,Brahmaputra Basin
Kurung Kumey,Brahmaputra Basin
Lohit,Brahmaputra Basin
Lower Dibang Valley,Brahmaputra Basin
Lower Subansiri,Brahmaputra Basin
Sitamarhi,Ganga Basin
Siwan,Ganga Basin
Supaul,Ganga Basin
Vaishali,Ganga Basin
Chandigarh,Indus (Up to border) Basin
Bastar,Godavari Basin
Bastar,Mahanadi Basin
Bilaspur,Mahanadi Basin
Bilaspur,Narmada Basin
Bilaspur,Ganga Basin
Dantewada,Godavari Basin
Dhamtari,Mahanadi Basin
Dhamtari,Godavari Basin
Durg,Mahanadi Basin
Durg,Godavari Basin
Janjgir-Champa,Mahanadi Basin
Jashpur,Mahanadi Basin
Jashpur,Brahmani and Baitarni Basin
Jashpur,Ganga Basin
Kanker,Mahanadi Basin
Kanker,Godavari Basin
Kawardha,Mahanadi Basin
Kawardha,Narmada Basin
Korba,Mahanadi Basin
Korba,Ganga Basin
Koriya,Mahanadi Basin
Koriya,Ganga Basin
Mahasamund,Mahanadi Basin
Raigarh,Mahanadi Basin
Raigarh,Ganga Basin
Raipur,Mahanadi Basin
Raj Nandgaon,Godavari Basin
Raj Nandgaon,Mahanadi Basin
Raj Nandgaon,Narmada Basin
Surguja,Mahanadi Basin
Surguja,Brahmani and Baitarni Basin
Surguja,Ganga Basin
Dadra and Nagar Haveli,West flowing rivers South of Tapi Basin
Daman,West flowing rivers South of Tapi Basin
Junagadh,West flowing rivers of Kutch and Saurashtra including Luni Basin
Delhi,Ganga Basin
North Goa,West flowing rivers South of Tapi Basin
South Goa,West flowing rivers South of Tapi Basin
Ahmadabad,West flowing rivers of Kutch and Saurashtra including Luni Basin
Ahmadabad,Sabarmati Basin
Amreli,West flowing rivers of Kutch and Saurashtra including Luni Basin
Anand,Mahi Basin
Anand,Sabarmati Basin
Banas Kantha,Sabarmati Basin
Banas Kantha,West flowing rivers of Kutch and Saurashtra including Luni Basin
Bharuch,Tapi Basin
Bharuch,Narmada Basin
Bharuch,Mahi Basin
Bhavnagar,West flowing rivers of Kutch and Saurashtra including Luni Basin
Bhavnagar,Sabarmati Basin
Dahod,Narmada Basin
Dahod,Mahi Basin
Gandhinagar,Sabarmati Basin
Jamnagar,West flowing rivers of Kutch and Saurashtra including Luni Basin
Kachchh,West flowing rivers of Kutch and Saurashtra including Luni Basin
Kheda,Mahi Basin
Kheda,Sabarmati Basin
Mahesana,Sabarmati Basin
Mahesana,West flowing rivers of Kutch and Saurashtra including Luni Basin
Narmada,Tapi Basin
Narmada,Narmada Basin
Navsari,West flowing rivers South of Tapi Basin
Panch Mahals,Narmada Basin
Panch Mahals,Mahi Basin
Panch Mahals,Sabarmati Basin
Patan,West flowing rivers of Kutch and Saurashtra including Luni Basin
Porbandar,West flowing rivers of Kutch and Saurashtra including Luni Basin
Rajkot,West flowing rivers of Kutch and Saurashtra including Luni Basin
Rajkot,Sabarmati Basin
Sabar Kantha,Mahi Basin
Sabar Kantha,Sabarmati Basin
Surat,West flowing rivers South of Tapi Basin
Surat,Tapi Basin
Surat,Narmada Basin
