unit_type,unit_id,unit_name,basin,sub_basin,area_sqkm,state,district,forecast_issue_date,cycle_utc,forecast_issue_time_utc,valid_start_utc,valid_end_utc,valid_date,rain_forecast_daily_mm,rain_gfs_24h_mm,bias_factor,rain_gfs_bc_24h_mm,gfs_cal_factor,gfs_cal_threshold_mm,gfs_cal_samples,rain_gfs_cal_24h_mm,rain_icon_24h_mm,imd_observed_mm,observed_status,error_gfs_raw_mm,abs_error_gfs_raw_mm,pct_error_gfs_raw,updated_at_utc
district,Mizoram||Aizawl,Aizawl,,,,Mizoram,Aizawl,20260703,18,2026-07-03 18:00:00,2026-07-03 18:00:00,2026-07-04 18:00:00,20260704,10.6250,10.6250,0.5151,5.4724,0.2500,12.0000,6,10.6250,0.0000,6.7481,MATCHED,3.8769,3.8769,57.451727152828205,2026-07-03 23:48:44
district,Rajasthan||Ajmer,Ajmer,,,,Rajasthan,Ajmer,20260703,06,2026-07-03 06:00:00,2026-07-03 06:00:00,2026-07-04 06:00:00,20260704,2.3708,2.3708,1.1530,2.7337,1.0000,12.0000,0,2.3708,0.0000,5.9456,MATCHED,-3.5747999999999998,3.5747999999999998,-60.1251345532831,2026-07-03 12:56:55
district,Rajasthan||Ajmer,Ajmer,,,,Rajasthan,Ajmer,20260703,12,2026-07-03 12:00:00,2026-07-03 12:00:00,2026-07-04 12:00:00,20260704,5.0208,5.0208,0.5445,2.7337,1.0000,12.0000,0,5.0208,0.0000,5.9456,MATCHED,-0.9247999999999994,0.9247999999999994,-15.554359526372433,2026-07-03 17:42:45
district,Rajasthan||Ajmer,Ajmer,,,,Rajasthan,Ajmer,20260703,18,2026-07-03 18:00:00,2026-07-03 18:00:00,2026-07-04 18:00:00,20260704,3.5958,3.5958,0.7602,2.7337,1.0000,12.0000,0,3.5958,0.0000,5.9456,MATCHED,-2.3497999999999997,2.3497999999999997,-39.52166307857911,2026-07-03 23:48:44
district,Maharashtra||Akola,Akola,,,,Maharashtra,Akola,20260703,06,2026-07-03 06:00:00,2026-07-03 06:00:00,2026-07-04 06:00:00,20260704,20.7188,20.7188,0.3000,6.2156,0.3958,12.0000,5,8.1997,0.0000,10.8925,MATCHED,9.826300000000002,9.826300000000002,90.21161349552446,2026-07-03 12:56:55
district,Maharashtra||Akola,Akola,,,,Maharashtra,Akola,20260703,12,2026-07-03 12:00:00,2026-07-03 12:00:00,2026-07-04 12:00:00,20260704,32.3750,32.3750,0.3000,9.7125,0.3958,12.0000,5,12.8129,0.0000,10.8925,MATCHED,21.4825,21.4825,197.222859765894,2026-07-03 17:42:45
district,Maharashtra||Akola,Akola,,,,Maharashtra,Akola,20260703,18,2026-07-03 18:00:00,2026-07-03 18:00:00,2026-07-04 18:00:00,20260704,41.8125,41.8125,0.3000,12.5437,0.3958,12.0000,5,16.5479,0.0000,10.8925,MATCHED,30.92,30.92,283.8650447555658,2026-07-03 23:48:44
district,Kerala||Alappuzha,Alappuzha,,,,Kerala,Alappuzha,20260703,06,2026-07-03 06:00:00,2026-07-03 06:00:00,2026-07-04 06:00:00,20260704,11.3750,11.3750,0.8027,9.1302,3.7143,12.0000,2,11.3750,0.0000,73.1100,MATCHED,-61.735,61.735,-84.44125290657912,2026-07-03 12:56:55
district,Kerala||Alappuzha,Alappuzha,,,,Kerala,Alappuzha,20260703,12,2026-07-03 12:00:00,2026-07-03 12:00:00,2026-07-04 12:00:00,20260704,14.3125,14.3125,0.6379,9.1302,3.7143,12.0000,2,53.1605,0.0000,73.1100,MATCHED,-58.7975,58.7975,-80.42333470113527,2026-07-03 17:42:45
district,Kerala||Alappuzha,Alappuzha,,,,Kerala,Alappuzha,20260703,18,2026-07-03 18:00:00,2026-07-03 18:00:00,2026-07-04 18:00:00,20260704,11.3125,11.3125,0.8071,9.1302,3.7143,12.0000,2,11.3125,0.0000,73.1100,MATCHED,-61.7975,61.7975,-84.52674052797154,2026-07-03 23:48:44
