unit_type,unit_id,unit_name,basin,sub_basin,area_sqkm,state,district,forecast_issue_date,cycle_utc,forecast_issue_time_utc,valid_start_utc,valid_end_utc,valid_date,rain_forecast_daily_mm,rain_gfs_24h_mm,bias_factor,rain_gfs_bc_24h_mm,gfs_cal_factor,gfs_cal_threshold_mm,gfs_cal_samples,rain_gfs_cal_24h_mm,rain_icon_24h_mm,imd_observed_mm,observed_status,error_gfs_raw_mm,abs_error_gfs_raw_mm,pct_error_gfs_raw,updated_at_utc
watershed,A01BAM18,Watershed A01BAM18,Indus (Up to border) Basin,Barmer,600.75627226,,,20260706,18,2026-07-06 18:00:00,2026-07-06 18:00:00,2026-07-07 18:00:00,20260707,0.0,0.0,1.0,0.0,,,0,,0.0,0.0,MATCHED,0.0,0.0,,2026-07-07 04:58:18
watershed,A01BAM19,Watershed A01BAM19,Indus (Up to border) Basin,Barmer,541.5121318,,,20260706,18,2026-07-06 18:00:00,2026-07-06 18:00:00,2026-07-07 18:00:00,20260707,0.0,0.0,1.0,0.0,,,0,,0.0,0.0,MATCHED,0.0,0.0,,2026-07-07 04:58:18
watershed,A01BAM20,Watershed A01BAM20,Indus (Up to border) Basin,Barmer,770.03162226,,,20260706,18,2026-07-06 18:00:00,2026-07-06 18:00:00,2026-07-07 18:00:00,20260707,0.0,0.0,1.0,0.0,,,0,,0.0,0.0,MATCHED,0.0,0.0,,2026-07-07 04:58:18
watershed,A01BAM21,Watershed A01BAM21,Indus (Up to border) Basin,Barmer,631.91848279,,,20260706,18,2026-07-06 18:00:00,2026-07-06 18:00:00,2026-07-07 18:00:00,20260707,0.0,0.0,1.0,0.0,,,0,,0.0,0.0,MATCHED,0.0,0.0,,2026-07-07 04:58:18
watershed,A01BAM22,Watershed A01BAM22,Indus (Up to border) Basin,Barmer,463.07959265,,,20260706,18,2026-07-06 18:00:00,2026-07-06 18:00:00,2026-07-07 18:00:00,20260707,0.125,0.125,3.0,0.375,,,0,,0.0,0.0,MATCHED,0.125,0.125,,2026-07-07 04:58:18
watershed,A01BAM23,Watershed A01BAM23,Indus (Up to border) Basin,Barmer,485.78285532,,,20260706,18,2026-07-06 18:00:00,2026-07-06 18:00:00,2026-07-07 18:00:00,20260707,0.0625,0.0625,1.0,0.0625,,,0,,0.0,0.0,MATCHED,0.0625,0.0625,,2026-07-07 04:58:18
watershed,A01BAM24,Watershed A01BAM24,Indus (Up to border) Basin,Barmer,485.03544154,,,20260706,18,2026-07-06 18:00:00,2026-07-06 18:00:00,2026-07-07 18:00:00,20260707,0.0,0.0,1.0,0.0,,,0,,0.0,0.0,MATCHED,0.0,0.0,,2026-07-07 04:58:18
watershed,A01BAM25,Watershed A01BAM25,Indus (Up to border) Basin,Barmer,655.37157637,,,20260706,18,2026-07-06 18:00:00,2026-07-06 18:00:00,2026-07-07 18:00:00,20260707,0.0,0.0,1.0,0.0,,,0,,0.0,0.0,MATCHED,0.0,0.0,,2026-07-07 04:58:18
watershed,A01BAM26,Watershed A01BAM26,Indus (Up to border) Basin,Barmer,507.57424262,,,20260706,18,2026-07-06 18:00:00,2026-07-06 18:00:00,2026-07-07 18:00:00,20260707,0.0,0.0,1.0,0.0,,,0,,0.0,0.0,MATCHED,0.0,0.0,,2026-07-07 04:58:18
watershed,A01BAM27,Watershed A01BAM27,Indus (Up to border) Basin,Barmer,386.71822959,,,20260706,18,2026-07-06 18:00:00,2026-07-06 18:00:00,2026-07-07 18:00:00,20260707,0.0,0.0,1.0,0.0,,,0,,0.0,0.0651444420218467,MATCHED,-0.0651444420218467,0.0651444420218467,,2026-07-07 04:58:18
