unit_type,unit_id,unit_name,basin,sub_basin,area_sqkm,state,district,forecast_issue_date,cycle_utc,forecast_issue_time_utc,valid_start_utc,valid_end_utc,valid_date,rain_forecast_daily_mm,rain_gfs_24h_mm,bias_factor,rain_gfs_bc_24h_mm,gfs_cal_factor,gfs_cal_threshold_mm,gfs_cal_samples,rain_gfs_cal_24h_mm,rain_icon_24h_mm,imd_observed_mm,observed_status,error_gfs_raw_mm,abs_error_gfs_raw_mm,pct_error_gfs_raw,updated_at_utc
district,Mizoram||Aizawl,Aizawl,,,,Mizoram,Aizawl,20260703,12,2026-07-03 12:00:00,2026-07-03 12:00:00,2026-07-04 12:00:00,20260704,8.40625025331974,8.40625025331974,0.6509948740784485,5.47242582513181,0.25,12.0,6,8.40625025331974,0.0,6.748147865136464,MATCHED,1.6581023881832762,1.6581023881832762,24.571221931126804,2026-07-03 17:42:45
district,Mizoram||Aizawl,Aizawl,,,,Mizoram,Aizawl,20260703,18,2026-07-03 18:00:00,2026-07-03 18:00:00,2026-07-04 18:00:00,20260704,10.625000109896064,10.625000109896064,0.5150518370380839,5.472425825131811,0.25,12.0,6,10.625000109896064,0.0,6.748147865136464,MATCHED,3.8768522447595997,3.8768522447595997,57.450611964045926,2026-07-03 23:48:44
district,Rajasthan||Ajmer,Ajmer,,,,Rajasthan,Ajmer,20260703,06,2026-07-03 06:00:00,2026-07-03 06:00:00,2026-07-04 06:00:00,20260704,2.3708333862014115,2.3708333862014115,1.153035730547224,2.7336556054644934,1.0,12.0,0,2.3708333862014115,0.0,5.9455721616745,MATCHED,-3.5747387754730884,3.5747387754730884,-60.124386320900456,2026-07-03 12:56:55
district,Rajasthan||Ajmer,Ajmer,,,,Rajasthan,Ajmer,20260703,12,2026-07-03 12:00:00,2026-07-03 12:00:00,2026-07-04 12:00:00,20260704,5.02083333581686,5.02083333581686,0.5444625269601273,2.7336556054644934,1.0,12.0,0,5.02083333581686,0.0,5.9455721616745,MATCHED,-0.9247388258576397,0.9247388258576397,-15.553403452380232,2026-07-03 17:42:45
district,Rajasthan||Ajmer,Ajmer,,,,Rajasthan,Ajmer,20260703,18,2026-07-03 18:00:00,2026-07-03 18:00:00,2026-07-04 18:00:00,20260704,3.5958332694135606,3.5958332694135606,0.7602286871077094,2.7336556054644934,1.0,12.0,0,3.5958332694135606,0.0,5.9455721616745,MATCHED,-2.3497388922609392,2.3497388922609392,-39.52082034101766,2026-07-03 23:48:44
district,Maharashtra||Akola,Akola,,,,Maharashtra,Akola,20260703,06,2026-07-03 06:00:00,2026-07-03 06:00:00,2026-07-04 06:00:00,20260704,20.71875,20.71875,0.3,6.215625,0.3957638963646611,12.0,5,8.199733227805321,0.0,10.89253681898117,MATCHED,9.82621318101883,9.82621318101883,90.21051151184376,2026-07-03 12:56:55
district,Maharashtra||Akola,Akola,,,,Maharashtra,Akola,20260703,12,2026-07-03 12:00:00,2026-07-03 12:00:00,2026-07-04 12:00:00,20260704,32.375,32.375,0.3,9.7125,0.3957638963646611,12.0,5,12.812856144805902,0.0,10.89253681898117,MATCHED,21.48246318101883,21.48246318101883,197.22185509241348,2026-07-03 17:42:45
district,Maharashtra||Akola,Akola,,,,Maharashtra,Akola,20260703,18,2026-07-03 18:00:00,2026-07-03 18:00:00,2026-07-04 18:00:00,20260704,41.8125,41.8125,0.3,12.54375,0.3957638963646611,12.0,5,16.547877916747392,0.0,10.89253681898117,MATCHED,30.91996318101883,30.91996318101883,283.86374721394714,2026-07-03 23:48:44
district,Kerala||Alappuzha,Alappuzha,,,,Kerala,Alappuzha,20260703,06,2026-07-03 06:00:00,2026-07-03 06:00:00,2026-07-04 06:00:00,20260704,11.375,11.375,0.8026515250175128,9.130161097074208,3.714273474885804,12.0,2,11.375,0.0,73.11003112792969,MATCHED,-61.73503112792969,61.73503112792969,-84.44125953099957,2026-07-03 12:56:55
district,Kerala||Alappuzha,Alappuzha,,,,Kerala,Alappuzha,20260703,12,2026-07-03 12:00:00,2026-07-03 12:00:00,2026-07-04 12:00:00,20260704,14.3125,14.3125,0.6379151858217786,9.130161097074208,3.714273474885804,12.0,2,53.160539109303066,0.0,73.11003112792969,MATCHED,-58.79753112792969,58.79753112792969,-80.4233430362577,2026-07-03 17:42:45
