unit_type,unit_id,unit_name,basin,sub_basin,area_sqkm,rain_gfs_mm,imd_mean_mm,bias_factor,rain_gfs_bc_mm,rain_icon_mm,alert_gfs_bc,alert_icon,date,cycle_utc
subbasin,MAL,Mahanadi Lower,Mahanadi Basin,Mahanadi Lower,57958.8771578,10.404761904761905,3.716829845853106,0.3572239211117402,3.7168298458531064,0.0,NO ALERT,NO ALERT,20260921,12
subbasin,MAM,Mahanadi Middle,Mahanadi Basin,Mahanadi Middle,51895.912271199995,8.010833333333334,3.8449626910825296,0.47997037650047175,3.8449626910825296,0.0,NO ALERT,NO ALERT,20260921,12
subbasin,MAN,Mangpui Lui and others,Minor rivers draining into Myanmar Basin,Mangpui Lui and others,7976.1826088,4.234375,6.584150869256422,1.5549286185697822,6.584150869256422,0.0,NO ALERT,NO ALERT,20260921,12
subbasin,MAU,Mahanadi Upper,Mahanadi Basin,Mahanadi Upper,29796.635875400003,5.075892857142858,3.2624849298564307,0.6427410943604577,3.2624849298564307,0.0,NO ALERT,NO ALERT,20260921,12
subbasin,MHL,Mahi Lower,Mahi Basin,Mahi Lower,13092.144778,0.049342105263157895,2.9736269656485503,1.0,0.049342105263157895,0.0,NO ALERT,NO ALERT,20260921,12
subbasin,MHO,Muhury and Others,Minor rivers draining into Bangladesh Basin,Muhury and Others,1676.3936024500001,7.96875,7.019970971937866,0.8809375337333792,7.019970971937866,0.0,NO ALERT,NO ALERT,20260921,12
subbasin,MHU,Mahi Upper,Mahi Basin,Mahi Upper,24959.804656099997,0.36148648648648646,3.3312852275190594,3.0,1.0844594594594594,0.0,NO ALERT,NO ALERT,20260921,12
subbasin,NAG,Nagvati and other,East flowing rivers between Mahanadi and Godavari Basin,Nagvati and other,24372.2391257,19.4847972972973,3.5962806268074274,0.3,5.8454391891891895,0.0,NO ALERT,NO ALERT,20260921,12
subbasin,NAL,Narmada Lower,Narmada Basin,Narmada Lower,9725.401358770001,0.8458333333333333,4.1365187625444095,3.0,2.5375,0.0,NO ALERT,NO ALERT,20260921,12
subbasin,NAM,Narmada Middle,Narmada Basin,Narmada Middle,40575.718659599996,2.3781779661016946,2.9879531433974917,1.2564043507203708,2.9879531433974917,0.0,NO ALERT,NO ALERT,20260921,12
